District code,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,LPG_or_PNG_Households,Christians,LPG_or_PNG_Households,Sikhs,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Buddhists,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Jains,Others_Religions,Rural_Households,Urban_Households,State,District,Latitude,Longitude,sex_ratio,literate_rate
62,Pithoragarh,483439,239306,244133,345550,189623,155927,475105,6015,45365,1401,45365,260,273494,116749,92517,185,95421,1344,7932,13,30,183687,26256,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,98.02279904805987,71.47747699296086
63,Bageshwar,259898,124326,135572,179483,97546,81937,257509,1440,13352,397,13352,46,147488,60569,51672,102,47083,435,3595,7,16,96031,3880,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,91.70477679756883,69.0590154599112
64,Almora,622506,291081,331425,436497,231604,204893,611250,7752,40199,1895,40199,256,351595,141238,128994,201,109876,1830,9858,31,6,260056,21082,Uttaranchal,Almora,29.683532133676103,79.50165064267351,87.82711020592893,70.11932415109253
65,Champawat,259648,131125,128523,177726,102015,75711,249563,8693,18785,870,18785,336,156916,60722,41913,24,37725,548,3159,28,6,85202,12839,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,102.0245403546447,68.44882302193739
67,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,1104452,372267,116576,6064,116576,162768,1042614,392370,212223,505,254802,7883,28053,738,159,269406,145253,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,108.69033651892943,62.94121785284996
69,Panchkula,561293,299679,261614,405318,229862,175456,490702,23451,69687,2583,69687,40951,309078,157076,93606,1008,103455,18615,32174,1626,90,70895,93656,Haryana,Panchkula,30.700897142857134,76.97173238095236,114.55006230553411,72.2114831291322
70,Ambala,1128350,598703,529647,818025,461288,356737,955096,22143,121622,3705,121622,138202,617859,308126,201685,381,199681,12899,32767,4845,110,175365,139891,Haryana,Ambala,30.3503672316384,76.94970310734456,113.03811784075053,72.49745203172775
72,Kurukshetra,964655,510976,453679,646893,370828,276065,805175,15970,90150,1943,90150,140395,552034,250830,160216,214,171908,7356,21951,375,106,203553,88268,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,112.6294141893277,67.05951868802836
73,Kaithal,1074304,571003,503301,646529,385782,260747,974520,8232,62668,1769,62668,87558,630194,265813,176320,265,187349,3724,15301,351,70,231091,75696,Haryana,Kaithal,29.96068539094649,76.37698930041155,113.45159258574888,60.18119638389133
74,Karnal,1505324,797712,707612,978013,564516,413497,1341002,31650,143133,2049,143133,126207,884972,380409,234684,532,267223,11163,29253,1516,49,292682,135920,Haryana,Karnal,29.703200647249204,76.87488025889972,112.73296665404204,64.97026553751883
